11 ; Gigi Lopez ; 2005/1/8 ; 974621223 ; Ivy Street Duluth ; music ;  ;
13 ; Laquan James ; 2003/2/21 ; 962523443 ; Bank St. Avon Lake ; music ;  ;
117 ; Jillian Pagel   ; 2002/7/4 ; 948709933 ; Angel Avenue ; theatre ;  ;
10 ; John Wayne ; 2002/5/11 ; 962127479 ; Water Rd. Oxnard ; dance ;  ;
37 ; Carmen Fails   ; 2001/10/19 ; 941179986 ; Hillcrest Drive ; dance ;  ;
14 ; Maura Levis ; 2001/1/19 ; 934125572 ; James Street Lawndale ; music ;  ;
86 ; Felisha Marse   ; 2000/12/9 ; 943493970 ; Ivy Court ; dance ;  ;
147 ; Jann Gonsalez   ; 2000/11/8 ; 962966011 ; Parkside Avenue ; dance ;  ;
55 ; Xuan Burgher   ; 2000/10/29 ; 935656207 ; Prospect Boulevard ; music ;  ;
146 ; Graig Vise   ; 2000/10/26 ; 952412987 ; Ivy Avenue ; music ;  ;
12 ; Margaret Kalle ; 2000/10/2 ; 952127476 ; Deerfield Circle Valparaiso ; theatre ;  ;
175 ; Robyn Durfee   ; 2000/8/20 ; 951857657 ; Ember Street ; theatre ;  ;
20 ; Christen Watson ; 2000/2/18 ; 962427456 ; Bohemia Road Saint Petersburg ; theatre ; 1 , 0 , 6. 1 , 0 , 6.  ;
9 ; Tera Marshall ; 2000/2/12 ; 963002024 ; County Drive West Chicago ; music ;  ;
7 ; Alexandra Generalova ; 1999/11/4 ; 928765430 ; Proctor Ave. Mount Holly ; theatre ; 1 , 2 , 6.  ;
162 ; Lashaun Kupfer   ; 1999/3/5 ; 931463288 ; Beech Street ; music ;  ;
39 ; Dori Exline   ; 1999/2/9 ; 932818678 ; Moon Passage ; theatre ;  ;
21 ; John Lemon ; 1999/1/24 ; 963220076 ; Canal Ave. Erlanger ; dance ;  ;
42 ; Leta Kilcrease ; 1998/12/2 ; 951428229 ; Cypress Passage ; theatre ;  ;
97 ; Kenisha Ivester   ; 1998/12/1 ; 943620963 ; Hanover Court ; dance ;  ;
102 ; Jay Winfrey   ; 1998/11/28 ; 948658224 ; Cambridge Court ; theatre ;  ;
16 ; Carla Marquez ; 1998/6/3 ; 962152136 ; Blue Spring Drive Phoenix ; theatre ; 1 , 2 , 6. 1 , 2 , 6.  ;
